,SF,DS,XQ,FWT,BSFWT_DM,BSFWTMC,MU_ID,日平均开通窗口数,日平均票号量,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,不满意数,物理窗口数,前台人数,评价率,满意率,占空比,SJSWJG_DM,XSXH,DZ
61,广东省地税,佛山市,南海区,南海区狮山办税服务厅,24406051100,南海区狮山办税服务厅,10343,22,226,10,1.45,15.73,1322,164,0,22,75,92,92,35,24406050000,1839,南海市小塘镇二环路
62,广东省地税,佛山市,南海区,南海区罗村办税服务厅,24406051000,南海区罗村办税服务厅,10331,12,146,12,2.11,37.32,729,88,0,12,47,98,98,49.4,24406050000,1838,南海市罗村镇罗湖一路39号
63,广东省地税,佛山市,南海区,南海区西樵办税服务厅,24406051600,南海区西樵办税服务厅,10336,17,180,11,1.94,11.84,694,158,0,17,46,98,98,31.6,24406050000,1847,南海市西樵官山登山大道
64,广东省地税,佛山市,南海区,南海区里水办税服务厅,24406050900,南海区里水办税服务厅,10347,18,187,10,1.7,12.73,910,147,0,18,63,89,89,39.9,24406050000,1837,南海市里水镇邓岗路段
65,广东省地税,韶关市,南雄市,南雄市城区办税服务厅,24402230200,南雄市城区办税服务厅,10373,16,31,2,0.5,16.9,203,30,0,16,13,96,96,4.4,24402230000,1388,韶关市
66,广东省地税,惠州市,博罗县,博罗县公庄办税服务厅,24413221100,博罗县公庄办税服务厅,8010125,5,1,0,0,2.7,4,1,0,6,8,100,100,0,24413220000,3691,
67,广东省地税,惠州市,博罗县,博罗县园洲办税服务厅,24413220900,博罗县园洲办税服务厅,8010026,13,20,2,0.82,29.55,101,19,0,13,21,0,0,6.7,24413220000,3687,
68,广东省地税,惠州市,博罗县,博罗县湖镇办税服务厅,24413220600,博罗县湖镇办税服务厅,8010025,5,8,2,0.02,6.68,48,8,0,5,10,0,0,0,24413220000,3681,
69,广东省地税,惠州市,博罗县,博罗县石湾办税服务厅,24413220300,博罗县石湾办税服务厅,4210266,6,54,9,0.55,11.32,261,47,0,6,10,13,13,6.2,24413220000,3675,
70,广东省地税,惠州市,博罗县,博罗县罗阳办税服务厅,24413220101,博罗县罗阳办税服务厅,8010023,10,25,3,0.08,21,55,7,0,10,19,30,30,0.2,,,
71,广东省地税,惠州市,博罗县,博罗县行政服务中心办税服务厅,24413220102,博罗县行政服务中心办税服务厅,8010141,12,351,29,0.91,20.92,646,241,0,12,29,0,0,14.1,,,
72,广东省地税,惠州市,博罗县,博罗县龙溪办税服务厅,24413221500,博罗县龙溪办税服务厅,8010024,10,19,2,0.51,13.63,149,17,0,10,12,0,0,2.6,24413220000,3695,
73,广东省地税,东莞市,厚街办税服务厅,厚街办税服务厅,24419080000,厚街办税服务厅,5010009,16,304,19,2.5,10.58,665,306,0,16,40,0,0,38,24419000000,6205,东莞市厚街镇厚街大道
74,广东省地税,中山市,古镇,中山市古镇办税服务厅,24420020006,中山市古镇办税服务厅,10237,11,206,19,1.28,16.98,690,161,0,11,15,0,0,19.8,24420020000,6451,中山市古镇和兴路1号
75,广东省地税,江门市,台山市,台城办税服务厅,24407818100,台城办税服务厅,10142,19,365,19,0.82,11.54,1250,195,0,19,41,72,72,18.6,24407810000,2455,台山市东郊路31号
76,广东省地税,河源市,和平县,和平县下车分局,24416240400,和平县下车分局,11010740,3,5,2,25.82,13.96,0,3,0,3,3,63,63,0.2,24416240000,5970,和平县下车镇
77,广东省地税,河源市,和平县,和平县城区分局,24416240100,和平县城区分局,11010785,8,51,6,10.74,7.75,23,43,0,8,9,39,39,10.8,24416240000,5960,和平县福和大道
78,广东省地税,河源市,和平县,和平县彭寨分局,24416240600,和平县彭寨分局,11010741,3,5,2,0,71.13,0,3,0,3,3,100,100,0,24416240000,5977,和平县彭寨镇
79,广东省地税,肇庆市,四会市,四会市地豆办税服务厅,24412840500,四会市地豆办税服务厅,4210086,4,3,1,0.05,11.38,60,3,0,4,6,18,18,0.2,24412840000,3914,四会市地豆镇
80,广东省地税,肇庆市,四会市,四会市城区办税服务厅,24412840100,四会市城区办税服务厅,4210028,22,273,12,1.08,8.11,1481,272,0,22,35,53,53,38.3,24412840000,3212,四会市行政中心
81,广东省地税,肇庆市,四会市,四会市大沙办税服务厅,24412840200,四会市大沙办税服务厅,4210085,6,7,1,0.08,6.65,111,6,0,6,8,26,26,0.5,24412840000,3904,四会市大沙镇
82,广东省地税,肇庆市,四会市,四会市江谷办税服务厅,24412840400,四会市江谷办税服务厅,4210087,3,2,1,4.24,20.57,45,2,0,3,6,0,0,23.5,24412840000,3911,四会市江谷镇
83,广东省地税,顺德区,均安,均安办税服务厅,24406061100,均安办税服务厅,6010018,7,67,10,1.29,8.17,259,66,0,7,15,18,18,16.3,24406060000,1730,顺德均安镇永安路2号
84,广东省地税,中山市,坦洲,中山市坦洲办税服务厅,24420240004,中山市坦洲办税服务厅,10243,10,342,34,1.53,16.91,709,236,0,10,13,0,0,22.4,24420240000,5765,中山市坦洲镇坦神北路89号
85,广东省地税,中山市,城区,中山市城区办税服务厅,24420380003,中山市城区办税服务厅,10219,18,267,15,1.92,9.99,871,240,0,18,26,0,0,22.1,24420380000,5886,中山市兴中道45号
86,广东省地税,东莞市,塘厦办税服务厅,塘厦办税服务厅,24419180000,塘厦办税服务厅,5010019,15,285,19,2.8,32.58,352,281,0,17,20,0,0,27.5,24419000000,6225,东莞市塘厦镇行政新区塘福路6号
87,广东省地税,广州市,增城区,仙村办税服务厅,24401830300,仙村办税服务厅,11010460,11,29,3,1.79,3.52,53,29,0,11,7,0,0,8.7,24401830000,1085,(待定)
88,广东省地税,广州市,增城区,永和办税服务厅,24401830600,永和办税服务厅,11010461,6,98,16,1.62,2.82,142,97,0,11,9,0,0,16.2,24401830000,710,增城市永和新新公路44号
89,广东省地税,广州市,增城区,派潭办税服务厅,24401830900,派潭办税服务厅,11010459,10,27,3,1.62,3.61,76,20,0,10,9,0,0,13.5,24401830000,725,(待定)
90,广东省地税,惠州市,大亚湾,大亚湾澳头办税服务厅,24413010100,大亚湾澳头办税服务厅,510021,19,448,24,0.49,10.61,1235,339,0,19,28,0,0,10.1,24413010000,3948,
91,广东省地税,惠州市,大亚湾,大亚湾霞涌办税服务厅,24413010200,大亚湾霞涌办税服务厅,8010022,5,33,7,1.21,9.49,174,29,0,5,10,98,98,12.7,24413010000,3949,
92,广东省地税,广州市,大企业局,大企业局,24401000023,大企业局,11010504,5,68,14,2.37,8.21,100,66,0,5,7,0,0,10.4,,,
93,广东省地税,顺德区,大企业征收管理局,大企业征收管理办税服务厅,24406063000,大企业征收管理办税服务厅,6010101,3,1,0,0.19,0,58,5,0,3,8,6,6,1.1,24406060000,1741,顺德伦教镇新丰路38号
94,广东省地税,梅州市,大埔县,大埔县城区办税服务厅,24414229000,大埔县城区办税服务厅,4110036,12,527,44,0.52,20.65,1476,383,0,12,24,31,31,21.9,24414220000,4306,大埔县湖寮镇虎山路
95,广东省地税,梅州市,大埔县,大埔县大麻办税服务厅,24414220400,大埔县大麻办税服务厅,4110040,2,1,1,0,0,22,1,0,2,7,0,0,0,24414220000,4294,大埔县大麻镇牛岗坪
96,广东省地税,梅州市,大埔县,大埔县枫朗办税服务厅,24414220200,大埔县枫朗办税服务厅,4110038,2,1,1,0.3,0,66,9,0,2,6,96,96,3.8,24414220000,4285,大埔县枫朗镇枫朗街
97,广东省地税,梅州市,大埔县,大埔县茶阳办税服务厅,24414220500,大埔县茶阳办税服务厅,4110037,1,1,1,0.19,0,162,19,0,3,7,6,6,7.8,24414220000,4298,大埔县茶阳镇
98,广东省地税,梅州市,大埔县,大埔县高陂办税服务厅,24414220300,大埔县高陂办税服务厅,4110039,4,1,0,0.12,0,87,6,0,4,9,76,76,1.2,24414220000,4289,大埔县高陂镇乌槎开发区
99,广东省地税,东莞市,大岭山办税服务厅,大岭山办税服务厅,24419130000,大岭山办税服务厅,5010014,12,299,25,1.87,26.69,507,272,0,12,16,0,0,39.3,24419000000,6215,东莞市大岭山镇教育路农场路段
100,广东省地税,东莞市,大朗办税服务厅,大朗办税服务厅,24419140000,大朗办税服务厅,5010015,10,181,18,2.05,7.05,478,165,0,12,16,0,0,36.1,24419000000,6217,东莞市大朗镇政通路68号
101,广东省地税,顺德区,大良,大良办税服务厅,24406060200,大良办税服务厅,6010024,21,220,10,2.07,13.39,923,220,0,25,53,10,10,32.5,24406060000,1722,顺德大良区东康路41、43、45号
102,广东省地税,顺德区,大良,大良行政中心,24406060200,大良行政中心,6010025,13,49,4,2.06,18.47,322,48,0,13,17,0,0,18.2,24406060000,1722,顺德大良区东康路41、43、45号
103,广东省地税,广州市,天河区,员村办税服务厅,24401060061,员村办税服务厅,10285,22,514,23,2.87,16.49,645,513,0,25,59,0,0,17.9,24401060000,1,
104,广东省地税,广州市,天河区,珠江新城办税服务厅,24401060060,珠江新城办税服务厅,10278,56,1028,18,3.38,16.86,1439,1030,0,58,181,1,1,25.4,24401060000,1,
105,广东省地税,广州市,天河区,龙洞办税服务厅,24401060062,龙洞办税服务厅,10291,19,286,15,2.85,6.31,356,286,0,21,35,0,0,20.8,24401060000,1,
106,广东省地税,韶关市,始兴县,始兴县城区地方税务局,24402220200,始兴县城区地方税务局,10386,16,66,4,0.67,2.39,492,65,0,16,18,64,64,21.9,24402220000,1356,韶关市
107,广东省地税,顺德区,容桂,容桂办税服务厅,24406060100,容桂办税服务厅,6010033,21,208,10,2.51,18.53,987,208,0,21,41,10,10,54.5,24406060000,1721,顺德容桂镇文华路8号
108,广东省地税,东莞市,寮步办税服务厅,寮步办税服务厅,24419120000,寮步办税服务厅,5010013,12,283,24,2.18,7.87,529,271,0,13,26,0,0,29.8,24419000000,6213,东莞市寮步镇行政中心区
109,广东省地税,肇庆市,封开县,封开县南丰办税服务厅,24412250600,封开县南丰办税服务厅,4210064,6,3,1,0.15,4.29,50,3,0,6,9,0,0,0.9,24412250000,3222,封开县南丰镇
110,广东省地税,肇庆市,封开县,封开县城区办税服务厅,24412250100,封开县城区办税服务厅,4210025,10,110,11,1.45,24.65,364,85,0,10,22,0,0,22.2,24412250000,3407,封开县江口镇青果场开发区
111,广东省地税,肇庆市,封开县,封开县渔涝办税服务厅,24412250400,封开县渔涝办税服务厅,4210063,2,4,2,0.09,15.06,21,4,0,6,10,0,0,0.3,24412250000,3422,封开县渔涝镇
112,广东省地税,中山市,小榄,中山市小榄办税服务厅,24420010007,中山市小榄办税服务厅,10228,19,174,9,1.03,5.8,861,162,0,19,25,0,0,16.4,24420010000,6442,中山市小榄镇民安中路39号
113,广东省地税,东莞市,常平办税服务厅,常平办税服务厅,24419210000,常平办税服务厅,5010022,15,268,18,2.31,45.87,559,271,0,15,17,0,0,37.6,24419000000,6231,东莞市常平镇下中元街86号
114,广东省地税,梅州市,平远县,平远县东石办税服务厅,24414260200,平远县东石办税服务厅,4110035,1,1,1,0.41,0,73,5,0,2,5,26,26,6,24414260000,3811,平远县东石镇新东四街10号
115,广东省地税,梅州市,平远县,平远县城区办税服务厅,24414269000,平远县城区办税服务厅,4110033,5,151,30,0.67,4.26,538,147,0,10,33,5,5,17.3,24414260000,4211,平远县平城中路86号
116,广东省地税,梅州市,平远县,平远县河头办税服务厅,24414260600,平远县河头办税服务厅,4110034,1,1,1,0,0,0,6,0,2,5,65,65,0,24414260000,4207,平远县河头镇河头圩供销街
117,广东省地税,肇庆市,广宁县,广宁县城区办税服务厅,24412230100,广宁县城区办税服务厅,4210026,13,139,11,1.18,4.63,551,131,0,13,38,25,25,16.9,24412230000,3602,广宁县南街镇强信路23路
118,广东省地税,肇庆市,广宁县,广宁县石涧办税服务厅,24412230300,广宁县石涧办税服务厅,4210030,6,2,0,0.04,19.34,47,2,0,6,14,0,0,0.7,24412230000,3613,广宁县石涧镇
119,广东省地税,广州市,广州开发区,广州开发区九龙办税服务厅,24401970600,广州开发区九龙办税服务厅,11010204,7,29,4,0.8,2.58,102,28,0,9,13,3,3,7.8,24401970000,1,
120,广东省地税,广州市,广州开发区,广州开发区永和区办税服务厅,24401970300,广州开发区永和区办税服务厅,11010187,10,24,2,0.69,1.9,71,24,0,10,10,0,0,4.9,24401970000,529,(待定)
121,广东省地税,广州市,广州开发区,广州开发区萝岗办税服务厅,24401970400,广州开发区萝岗办税服务厅,10432,11,100,9,1.87,5.4,252,100,0,11,16,0,0,21.4,24401970000,540,(待定)
122,广东省地税,广州市,广州开发区,广州开发区西区办税服务厅,24401970500,广州开发区西区办税服务厅,10426,17,126,7,1.92,3.03,291,127,0,19,37,1,1,18.8,24401970000,551,(待定)
123,广东省地税,广州市,广州开发区,广州开发区高新区办税服务厅,24401970100,广州开发区高新区办税服务厅,10429,14,111,8,1.67,9.1,255,111,0,14,31,0,0,11.1,24401970000,513,(待定)
124,广东省地税,中山市,开发区,中山市开发区办税服务厅,24420980005,中山市开发区办税服务厅,10233,15,315,21,2.33,45.04,763,257,0,15,30,0,0,25,24420980000,5985,中山市火炬开发区康乐大道
125,广东省地税,潮州市,开发区,潮州市发区办税服务厅,24451970100,潮州市发区办税服务厅,10523,6,8,1,1.19,38.79,62,8,0,6,11,3,3,12.6,24451970000,4884,潮州大道凤新东路
126,广东省地税,江门市,开平市,开平城区办税服务厅,24407830200,开平城区办税服务厅,10123,15,238,16,2.37,16.28,411,208,0,23,88,12,12,22,24407830000,2047,
127,广东省地税,肇庆市,德庆县,德庆县城区办税服务厅,24412260100,德庆县城区办税服务厅,4210023,12,107,9,2.13,6.76,211,92,0,12,16,12,12,19.1,24412260000,3243,德庆县德城镇康城大道东12号
128,广东省地税,肇庆市,德庆县,德庆县悦城办税服务厅,24412260400,德庆县悦城办税服务厅,4210024,5,5,1,0.73,9.33,11,4,0,5,8,52,52,0.2,24412260000,3434,德庆县悦城镇
129,广东省地税,肇庆市,德庆县,德庆县莫村办税服务厅,24412260300,德庆县莫村办税服务厅,4210029,6,4,1,0.47,0.93,36,4,0,6,6,78,78,1.7,,,
130,广东省地税,肇庆市,怀集县,怀集县城区办税服务厅,24412240100,怀集县城区办税服务厅,4210027,13,153,12,1.02,5.74,523,146,0,15,26,94,94,13.1,24412240000,3643,怀集县怀城红光路123号
131,广东省地税,江门市,恩平市,恩平市城区分局办税服务厅,24407850100,恩平市城区分局办税服务厅,10264,15,127,8,2.4,33.93,413,91,0,20,31,89,89,21.2,24407850000,1974,恩平市小岛管区锦安街2号
132,广东省地税,江门市,恩平市,恩平市大槐分局横陂组办税服务厅,24407850200,恩平市大槐分局横陂组办税服务厅,11010266,0,1,1,0,0,74,1,0,2,4,100,100,0,24407851200,1983,恩平市横陂镇
133,广东省地税,江门市,恩平市,恩平市沙湖分局办税服务厅,24407851400,恩平市沙湖分局办税服务厅,11010305,0,1,1,0,0,8,2,0,4,5,50,50,0,24407850000,1995,
