,办税服务厅代码,等候超时率,窗口日平均票号量,平均办理时间,平均等待时间,日均业务量,日均服务人次,占空比,日平均在线窗口数,前台人数,评价率,满意率
324,24401120200,1.05,2,2.61,1.71,18,9,6.4,2,16,1,1
325,24419150000,17.95,14,2.46,16.56,371,128,44.8,8,30,12,12
326,24412030003,1.06,7,1.27,4.03,267,65,13,6,11,17,17
327,24416220100,8.1,10,3.82,9.31,105,95,12.1,7,4,70,70
328,24416221000,7.58,3,1.27,15.89,5,7,0.4,2,27,3,3
329,24406060900,34.4,21,0.82,25.17,1177,162,57.7,6,43,23,23
330,24405071400,7.07,5,0.92,11.15,182,85,3.5,11,7,88,88
331,24413240400,8,2,0,8.34,44,6,0,2,11,4,4
332,24413240200,0,0,0.19,1.02,33,3,0.1,3,9,1,1
333,24413240900,2.48,3,0.47,5.83,97,17,2.3,4,19,0,0
334,24413240100,1.14,13,0.72,2.66,529,135,9.3,10,9,15,15
335,24413240600,51.85,1,0.27,25.46,29,3,0.9,1,,,
